Video,Vanishing Subject,Subject Addition/Reduction,Incongruity Fusion,Omission Error,Temporal Subject Dysmorphia,Action Inference,Unnatural Physics
Bathroom that has toilet sitting in the bathtub,no,no,no,yes,no,no,no
an image of a person playing on a skateboard,no,no,no,no,no,no,yes
A pair of black scissors on top of a table near a coaster,no,no,no,no,yes,no,no
A group of kids eating some cakes and plates on the table,no,no,no,no,yes,no,no
A small dog sitting at a table with a pile of food in front of him,no,no,no,yes,no,no,no
A traffic sign near a bridge and a gas station sign,no,no,no,no,yes,no,no
Many people on a beach fly their kites,no,no,no,no,yes,no,no
A woman in a towel combs her wet hair,no,no,no,yes,no,no,no
A large clock with a red neon sign above it,no,no,no,yes,no,no,no
Two women are holding Wii controllers and playing a game,no,no,no,no,yes,no,no
A giraffe wanders near a vehicle in an animal park,no,no,no,no,no,yes,no
A zebra is eating grass out side in the yard,no,no,no,yes,no,no,no
A woman wearing slacks and a red long-sleeve sweater bends slightly to pet a sheep standing in a field,no,no,no,no,yes,no,no
The cat fits perfectly in the sink basin,no,no,no,no,no,yes,no
A dog relaxes on the green grass as he holds a yellow frisbee,no,no,no,yes,no,no,no
Dogs comfortably lazing on their colorful rolling bed,no,no,no,no,yes,no,no
A man and woman wearing skis on a ski slope,no,no,no,no,no,no,yes
A man eats a large burger and french fries,no,yes,no,no,no,no,no
A USB hub with multiple electronics plugged in,no,no,no,yes,no,no,no
People at a baseball stadium watching a game,no,no,no,no,yes,no,no
elephants giving people rides down the middle of the road,no,no,no,yes,no,no,no
A handwritten note is attached to a parking meter,no,no,no,yes,no,no,no
an empty bathroom with no mirror and decorated with tan and white tiles,no,no,no,no,no,yes,no
A guy jumping above a ramp with his skateboard,no,no,yes,no,no,no,no
Two tupperware containers full of two different kinds of food,no,yes,no,no,no,no,no
A man running on a grass tennis court to get a ball,yes,no,no,no,no,no,no
A woman surfing on a large wave with a splash,no,no,no,no,no,no,yes
A clock tower is shown on the beach,no,no,no,yes,no,no,no
A woman giving a presentation in a park,no,yes,no,no,no,no,no
Two cows are lying down in a field,no,yes,no,no,no,no,no
A man riding skis down a snow covered ski slope,no,no,yes,no,no,no,no
a person wearing glasses and a tie in a car,no,no,no,no,yes,no,no
A black cat eating from a plate on a street curb,no,no,no,no,no,no,yes
A person and a couple of motor bikes,no,yes,no,no,no,no,no
Two men in solider uniforms run to an outhouse where a chicken sits on a toilet and a polar bear approaches from the other side of the outhouse,no,yes,no,no,no,no,no
A person jumping his or her snowboard in the air,no,no,no,no,no,no,yes
a couple of old buildings that are next to a car,no,no,no,yes,no,no,no
Two animals stand on the beach as a big boat sits in the water,no,no,no,no,no,yes,no
Two people in the distance on a beach with surfboards,no,yes,no,no,no,no,no
A herd of sheep standing next to a dog in a field,no,no,no,yes,no,no,no
There is a cat lying on top of the laptop,no,no,no,no,no,yes,no
Two birthday cakes are setting on a table,no,yes,no,no,no,no,no
Two women are in a kitchen with two ovens,no,no,no,no,yes,no,no
A tennis player after hitting a shot back to the other side of the court,no,no,no,no,no,yes,no
A small car sits parked in front of a scooter,no,no,no,yes,no,no,no
Looking out a train window at the scenery including a mountain,no,no,no,no,yes,no,no
A worker in yellow reflective clothing directing an airplane,yes,no,no,no,no,no,no
Man smoking cigarette and lady holding umbrella walking towards fire hydrant,no,no,no,no,no,yes,no
The woman is dressing the man for an occasion,no,no,no,no,yes,no,no
FOUR SHEEP IN AN ENCLOSURE WITH SNOW AROUND THEM,no,yes,no,no,no,no,no
Zebras grazing on green grass in a zoo enclosure,no,yes,no,no,no,no,no
Young girls on grassy field with animal during competition,yes,no,no,no,no,no,no
various types of vegan donuts for sale in a store,no,no,no,yes,no,no,no
Two young boys playing Wii bowling on a large television screen,no,no,no,yes,no,no,no
Two women and a desk both looking at their cell phones,no,no,no,yes,no,no,no
two very big elephants walking in the wild,no,no,no,no,no,yes,no
Two toilets and a sink in a bathroom,no,no,no,yes,no,no,no
Two street signs and a caution sign are pictured amongst some trees,no,yes,no,no,no,no,no
Two road workers are standing by a red light with a sign,no,no,no,yes,no,no,no
two refrigerators and a deep freezer on the side,no,no,no,yes,no,no,no
Two people standing near each other holding drinks,no,no,no,no,yes,no,no
Two people skiing down a snowy slope surrounded by trees,no,no,no,no,no,no,yes
two people in wet suits walking towards the water,no,no,no,yes,no,no,no
Two people are laying on benches in a garden,no,no,no,no,yes,no,no
Two people are holding sports equipment in the snow,no,no,no,no,yes,no,no
Two peeled carrots next with cut up squash and cut up carrots next to them,no,no,no,yes,no,no,no
Two monks stand under an umbrella on the sidewalk,no,yes,no,no,no,no,no
Two men in kilts pose with a wedding party,no,yes,no,no,no,no,no
Two girls sitting outside of a big office building having a conversation and texting on their phones,no,no,no,no,yes,no,no
Two elephants noses standing side by side in the dirt,no,no,no,yes,no,no,no
Two electrical boxes and signs sit on a street pole,no,no,no,yes,no,no,no
Two donuts are inside of a foiled container,no,yes,no,no,no,no,no
Two dishes of ice cream and baked apples,no,no,no,no,yes,no,no
Two cows are standing in a grassy area,no,no,no,no,no,yes,no
two children play together outside with rackets,no,no,no,no,yes,no,no
Two cakes one bunt style the other well frosted layered cake,no,yes,no,no,no,no,no
Two black cows in a grassy field with mountain in background,no,yes,no,no,no,no,no
two black bears are walking through some bushes and plants,no,yes,no,no,no,no,no
Two birds sit on opposite ends of a park bench,no,no,no,yes,no,no,no
Two beds are made in the hotel room,no,no,no,yes,no,no,no
Two baseball players near a base during a game,no,no,no,no,yes,no,no
Two Asian children stand in front of a sink,no,no,no,no,yes,no,no
train on train track surrounded by many trees,no,no,no,no,no,yes,no
Towels hanging on a rack next to a bathroom sink and bathtub,no,no,no,yes,no,no,no
Toilets sit with the lids closed with toy animals in the background,no,no,no,yes,no,no,no
Three zebras stand in a grassy area in the wilderness,no,yes,no,no,no,no,no
Three people riding horses along the beach,no,no,no,no,yes,no,no
Three men wearing specialty clothing with machines strapped to their backs,no,no,no,no,yes,no,no
Three men stand around a laptop that is recording them on a web camera,no,no,no,no,yes,no,no
Three cats and a teddy bear on a floor,no,yes,no,no,no,no,no
Three boats constructed of wood sitting on dry land,no,no,no,yes,no,no,no
This meal consists of a sandwich and a cucumber,no,no,no,no,no,yes,no
This is a plane on the tarmac with a ladder leading up to the door and people walking around it,no,no,yes,no,no,no,no
This is a baseball player missing the ball and getting a strike,no,no,no,yes,no,no,no
This cat is laying on top of a blue couch,no,no,yes,no,no,no,no
Theyre sitting in sharing a couple of boxes of pizzas,no,no,no,no,yes,no,no
There is a two parking signs on a stand outside,no,no,no,yes,no,no,no
There is a small herd of sheep on the grassy field,yes,no,no,no,no,no,no
There is a sign advertising a flower shop,no,no,no,no,yes,no,no
there is a red stop sign in front of houses,no,no,no,yes,no,no,no
THERE IS A DESK TOP COMPUTER ON THE DESK,no,no,no,yes,no,no,no
there is a blue and black bus stopped at a bus stop,no,no,no,yes,no,no,no
There is a bench set in front of a house,no,no,no,yes,no,no,no
THERE ARE ZEBRAS EATING IN A FENCE IN ZOO,no,no,no,no,yes,no,no
There are many horses standing on a paved street that contains many buildings,no,no,no,yes,no,no,no
there are many different busses that are parked next to each other,no,no,no,yes,no,no,no
The woman with her hat and backpack is also carrying an umbrella,no,no,no,yes,no,no,no
The woman is standing out front of the building with her umbrella up,no,no,no,no,yes,no,no
The old toilet is sitting on the sidewalk with newspaper on it,no,no,no,yes,no,no,no
The man is using his computer laying on his bed,no,no,no,yes,no,no,no
The man in the black wet suit is surfing on a board,no,no,no,no,no,no,yes
the fire hydrant is yellow and is next to green plants,no,yes,no,no,no,no,no
the boy and the girl sit in the park together,no,no,no,no,yes,no,no
Someone snow boarding on their snow board in the snow,no,no,no,no,no,no,yes
Someone attempts to feed a baby kitten with a bottle,no,yes,no,no,no,no,no
some people messing around with some elephants,yes,no,no,no,no,no,no
Some glasses that are on a shelf together,no,no,yes,no,no,no,no
some books about berlin next to a laptop,no,no,no,yes,no,no,no
Red and green fire hydrant sitting in the forest,no,no,no,yes,no,no,no
Polo game with brown horse and rider about to hit the ball,no,yes,no,no,no,no,no
Person airborne on a skateboard high over the ground,no,no,no,no,no,no,yes
2 cats who are playing outside of a house,no,no,no,yes,no,no,no
2 people pose for a picture by a cold mountain,no,no,no,no,yes,no,no
2 teddy bears in matching clothing next to each other,no,no,no,yes,no,no,no
3 zebras walking down a gravel path in front of a grassy area,no,yes,no,no,no,no,no
A advertising bus sitting along side a roadway,no,no,no,no,no,yes,no
A airplane on the tarmac next to the ocean,no,no,no,yes,no,no,no
A airplane that is sitting in the grass,no,no,no,no,no,yes,no
A airplane that is standing on a runway,no,no,no,no,yes,no,no
A airport runway with a large plane and cars parked on one side,no,yes,no,no,no,no,no
A baby bear standing among some tall grass,no,no,no,no,no,yes,no
A baby child is playing Frisbee outside in the sun,no,no,no,no,yes,no,no
a baby elephant walking behind a large one,no,no,no,no,no,yes,no
A baby elephant walking behind a mother elephant,no,yes,no,no,no,no,no
a baby giraffe behind a fence in an indoor enclosure,no,no,no,no,yes,no,no
A baby girl holding a white teddy bear walking across a park,no,no,no,yes,no,no,no
A baby girl standing in front of a giraffe,no,no,no,no,yes,no,no
A baby is being feed fruit from a container,no,no,no,yes,no,no,no
A baby is sitting in a white crib holding a toothbrush,no,no,no,no,yes,no,no
A baby is smiling with a teddy bear,no,no,no,no,yes,no,no
A baby named Ellitott laying in his bed,no,no,no,no,yes,no,no
a baby polar bear walking down a fake igloo and into the water,no,no,no,yes,no,no,no
A baby pressing a key on a laptop,no,no,no,yes,no,no,no
A baby sheep stands with other sheep in clumps of hay,no,no,no,no,yes,no,no
A baby sitting chewing on a toothbrush to soothe his gumns,no,no,no,no,yes,no,no
a baby under a table eating raw broccoli,no,no,no,yes,no,no,no
a back pack on a chair and a person sitting next to it,no,no,no,yes,no,no,no
A backpack rests in a chair next to a bed in a motel room,no,no,no,yes,no,no,no
A banana and a yellow apple in a woven basket,no,yes,no,no,no,no,no
A banana onion and some orange marmalade are shown here,no,no,no,no,no,yes,no
A banana sitting on top of bunches of grapes and an orange next to a lime,no,no,no,yes,no,no,no
A banana tree has a brown pod on it,no,no,no,no,no,no,yes
A barber shop sign is next to a fire hydrant,no,no,no,yes,no,no,no
A baseball field that has players standing on it,no,no,no,yes,no,no,no
A baseball game is being played with the batter in motion,yes,no,no,no,no,no,no
A baseball player at bat at a baseball game,no,no,no,no,yes,no,no
A baseball player at bat in a crowded stadium,no,no,no,yes,no,no,no
A baseball player at bat is in stance to get ready and hit the ball,yes,no,no,no,no,no,no
A baseball player getting ready to throw a pitch,no,no,yes,no,no,no,no
A baseball player holding a baseball bat during a game,no,no,no,no,yes,no,no
A baseball player is in the middle of his swing as the catcher is ready to catch the ball,no,no,no,yes,no,no,no
A baseball player on the field in the motion of throwing the ball,no,no,no,no,no,yes,no
2 bowls of fruit sit on a table,no,yes,no,no,no,no,no
A tennis player is getting ready for a shot,no,no,yes,no,no,no,no
A person sits on a park bench in the rain,yes,no,no,no,no,no,no
A piece of cake is on a plate with an American flag stuck in it,no,yes,no,no,no,no,no
A skateboarder doing tricks on a wall in a park,no,no,no,no,no,no,yes
The man and woman are hugging under an umbrella near the water,no,no,no,no,yes,no,no
Multiple police standing on the corner at a city intersection,no,no,no,yes,no,no,no
A very cute elephant in a big grassy field,no,no,no,no,yes,no,no
A child dunking a basketball on a toy hoop,no,no,no,no,no,no,yes
Man talking on personal cell phone on a yellow and black bench,no,no,no,yes,no,no,no
A beautiful view of the sun setting at a beach,no,no,no,yes,no,no,no
A professional baseball player preparing to swing at a pitch,no,no,no,no,yes,no,no
Three pastries on napkins sit on a table,no,yes,no,no,no,no,no
Two people on their surfboards in rough water,no,yes,no,no,no,no,no
Two toilets sitting next to each other in a bathroom,no,yes,no,no,no,no,no
An umbrella is inside of a plastic blue tub,no,no,no,yes,no,no,no
A commuter train stops for passengers to board,no,no,no,yes,no,no,no
A boy in a red hat playing with tee ball set,no,yes,no,no,no,no,no
A motorcycle taxi driver in the middle of a busy street,no,no,yes,no,no,no,no
A boy in a bow tie sticks out his tongue,no,no,no,no,yes,no,no
Back to back stuffed bears in an old thatch style,no,no,yes,no,no,no,no
Banner indicating Olympics above a brick wall in city,no,no,yes,no,no,no,no
Baseball player at home plate preparing to bat,no,no,no,no,yes,no,no
Baseball player standing in the batters box ready to hit,no,no,yes,no,no,no,no
Baskets and a rack filled with bananas at an outdoor market,no,no,no,no,yes,no,no
Bathroom scene green patterned wall paper and commode with square seat,no,no,no,yes,no,no,no
Bathroom with white tile flooring white rug toilet and printed shower curtain,no,no,no,yes,no,no,no
Beautiful brown colors and wood in the backdrop of a cunning little boy,no,no,no,no,yes,no,no
Beautiful large surfboards on a rack at the beach,no,no,no,yes,no,no,no
Bedroom with a white bed and large open windows,no,no,yes,no,no,no,no
Bedroom with red ceiling and pattered red sheets and drapes,no,no,no,yes,no,no,no
Beef broccoli bread and vegetables are on a plate,no,no,no,yes,no,no,no
Big Ben is next door to an apartment building,no,no,no,yes,no,no,no
Big cows and little cows standing and lying on a green field,no,no,yes,no,no,no,no
Birds and Ducks gather in and around water,no,no,yes,no,no,no,no
black and white cat wearing a red scarf,no,no,yes,no,no,no,no
Black and white donuts with sprinkles are stacked on a rack,no,no,yes,no,no,no,no
Black and white image of skateboarders on a half-pipe,no,no,no,yes,no,no,no
black and white man walking down street with suitcase,no,no,no,no,yes,no,no
Black and white metal sign pointing to the enclosure,no,no,no,yes,no,no,no
Black and white photo of a long train,no,no,yes,no,no,no,no
Black and white photo of bicycle in bed room with sofa in background,no,no,no,no,yes,no,no
Black and white photograph of someone using a computer on a bed,no,no,no,yes,no,no,no
Black and white striped bathroom with a toilet sink and shower,no,no,yes,no,no,no,no
Black dog laying on the floor in front of a bed,no,no,no,yes,no,no,no
Black white and yellow bird sitting on the edge of a plastic cup,no,no,no,no,no,no,yes
Blender on counter top in corner with paper towels and small containers,no,no,no,yes,no,no,no
Blonde haired person looking through the hole of a big doughnut,no,no,no,yes,no,no,no
Blue and white truck parked next to an open building,no,no,no,yes,no,no,no
Blue and yellow flowers in a glass vase near a mirror,no,no,no,yes,no,no,no
Blue plate of food sitting next to an IBM think pad,no,no,no,yes,no,no,no
Boats are docked under a roof in a marina,no,no,no,yes,no,no,no
Book shelves on a wall above a chest of drawers with coffee maker and fruit,no,no,no,yes,no,no,no
Bottle of red wine and red wine in a wine goblet,no,no,no,no,no,no,yes
Bowl of soup sitting on a plate at a Chinese restaurant,no,no,no,yes,no,no,no
Boxes of apples fill up a table at this outside market,no,no,no,yes,no,no,no
Boy holding an umberella smiling for the camera,no,no,no,no,yes,no,no
Boy on bow of boat steering with a pole,no,no,no,no,yes,no,no
Wall with paintings clock and an ornate painted shelf with decorations,no,no,no,yes,no,no,no
We are looking at a blurry photo of a kitchen stove,no,no,yes,no,no,no,no
We are looking at a chef behind a table filled with food,no,no,no,no,yes,no,no
We see a line of beach chairs and umbrellas,no,no,yes,no,no,no,no
well cooked pizza on a pan and chicken on a plate,no,no,no,yes,no,no,no
What a boring bathroom in white white and more white,no,no,no,yes,no,no,no
Wheeled luggage in the middle of a dirt road in a forest,no,no,no,yes,no,no,no
Whimsical and colorful decorated cakes with tiny fruit on top,no,yes,no,no,no,no,no
White clock tower with three flags on top,no,no,no,yes,no,no,no
white kitchen cabinets a silver sink and stove and a light,no,no,no,yes,no,no,no
White microwave over with lots of clutter on it in front of a wood panel wall,no,no,no,yes,no,no,no
White teddy bears cavort about an ice cream filled refrigerator in a department store window,no,no,no,yes,no,no,no
Wicker chairs and tables under umbrellas in the shade,no,no,yes,no,no,no,no
Wisps of smoke on a public street at night,no,no,no,yes,no,no,no
Woman being fitted into a green suitcase on bed,no,no,no,no,yes,no,no
Woman expressing joy at outdoor bench near populated area,no,no,no,no,yes,no,no
Woman in a jersey standing next to a large elephant,no,no,no,no,yes,no,no
Woman in bridal gown standing next to groom for photo opportunity,no,no,no,no,yes,no,no
Woman in glasses looks over as shes holding up a donut,no,no,no,no,yes,no,no
Woman in midst of a Wii activity holding the remote and smiling,no,no,no,no,yes,no,no
Woman in wedding dress pointing at donuts display,no,no,no,no,yes,no,no
Woman sitting on couch using her laptop in pajamas,no,no,no,no,yes,no,no
Woman skiing down a slop with her walking sticks in the air,no,no,no,yes,no,no,no
woman skiing in the snow while hunched over,no,no,no,no,no,yes,no
Woman standing with a lot of luggage on tile pavement,no,no,no,yes,no,no,no
Woman volleying a serve in a game of tennis,no,no,no,no,yes,no,no
Woman walking and talking on cellphone with people in background,no,no,no,no,yes,no,no
Woman with a baseball cap is up to bat,no,no,no,no,yes,no,no
Woman with a big hat sitting by some bananas while talking on the phone,no,no,no,no,yes,no,no
Women are getting ready to surf on a stormy day,no,no,no,no,yes,no,no
Women are playing WII video games in a big room,no,no,no,no,yes,no,no
Women looking at stacks of green bananas outside of a house,no,no,no,no,yes,no,no
Wood and tile walls are part of a public bathroom,no,no,no,yes,no,no,no
wood panaled bathroom with sink mirror and a toilet,no,no,no,yes,no,no,no
Wood planked surface with vegetable grouping greens bundle seven bell peppers a head of lettuce a head of broccoli five green peppers bok choy and radishes,no,no,no,yes,no,no,no
Wooden cabinetry in a blue kitchen with white appliances,no,no,yes,no,no,no,no
Woman wearing a black outfit and holding a black umbrella,yes,no,no,no,no,no,no
goaly in an orange jersey blocking a net,no,no,no,no,yes,no,no
two boats on the water looked at through a window,no,yes,no,no,no,no,no
a sunrise over a building outside in the morning,no,no,no,yes,no,no,no
A busy street with some cars driving by,no,no,no,no,no,no,yes
Two men in a room playing video games,no,yes,no,no,no,no,no
a room that has some furniture in it,no,no,no,yes,no,no,no
A person in winter gear on skis skiing cross country,no,no,yes,no,no,no,no
Two elephants are roaming in a field of grass,no,no,no,no,no,yes,no
a person flying a kite on a beach with a person near by,no,no,no,no,no,no,yes
There is an open flame within a pizza oven,no,yes,no,no,no,no,no
A man with a skateboard jumping in the air,no,no,no,no,no,no,yes
some people walking on a pier and a skateboarder,no,yes,no,no,no,no,no
A woman taking a self shot at an ornate mirror and sink,no,no,no,no,yes,no,no
A street sign perched above two street lights,no,yes,no,no,no,no,no
The building has a clock displayed on the tower,no,yes,no,no,no,no,no
A stuffed bear is sitting on a shelf with two photographs,no,yes,no,no,no,no,no
Two horses are racing down a track with their jockies,no,yes,no,no,no,no,no
A CHILD IS CUTTING PAPER AT THE TABLE,no,no,no,yes,no,no,no
a baseball player throws a pitch to a batter,no,no,no,no,yes,no,no
A glass of beer and a slice of pizza,no,no,no,no,no,no,yes
Two cats who are laying down on a bed,no,no,yes,no,no,no,no
A boy getting ready to hit the ball at a baseball game,no,no,no,no,yes,no,no
Three horses run in front of a grassy area at the base of several mountains on a hazy day that makes the mountains appear purple,no,yes,no,no,no,no,no
a male surfer in a wet suit surfing on a white board,no,no,no,no,no,no,yes
An adult bear and two bear cubs wander through a field,yes,no,no,no,no,no,no
A person on a snowboard on the ground,no,no,no,no,no,no,yes
A man on a snow board making a jump,no,no,no,no,no,no,yes
A crowd of people standing on a beach flying kites,no,yes,no,no,no,no,no
A baseball player swinging at a pitched ball,no,no,no,no,yes,no,no
A man rides a motorcycle down a freeway,no,yes,no,no,no,no,no
Two dogs sleeping on floral design covered sofa,no,no,no,no,yes,no,no
The guy looks like hes about to do something with his skateboard,no,yes,no,no,no,no,no
A car driving down the street near tall buildings,no,no,yes,no,no,no,no
A man is typing on his computer while a sandwich and a bottle of coke is on either side of him,no,no,no,no,no,yes,no
A skier going down a steep slope on a sunny day,no,no,no,no,no,no,yes
A bunch of trains side by side on tracks,no,yes,no,no,no,no,no
A happy adult holding two large donuts,yes,no,no,no,no,no,no
there is a baby that has made a mess on the table,yes,no,no,no,no,no,no
Two female skiers helping a little girl learn to ski,no,yes,no,no,no,no,no
Red sign stating to wait there when light shows,no,no,no,no,no,no,yes
Snow skiiers sitting down beside a rock wall,no,no,no,no,no,yes,no
Two horses graze on the grass with a background of colorful trees,no,yes,no,no,no,no,no
A little girl with purple glasses holding a powdered donut,no,no,no,no,no,yes,no
The bathroom has rugs on the floor near the toilet and sink,no,no,no,yes,no,no,no
Two black horses two brown horses and one white horse standing in the snow,no,yes,no,no,no,no,no
The banana is sitting next to the two oranges,no,yes,no,no,no,no,no
a number of elephants near one another,no,no,no,no,no,no,yes
A vase filled with flowers is sitting on a table with a chicken,no,no,no,yes,no,no,no
Three life size sheep hiding in the tall grass,no,yes,no,no,no,no,no
Three men attempt to ski down a snow covered slope,yes,no,no,no,no,no,no
a girl is on the back of a fake elephant,yes,no,no,no,no,no,no
Two men are playing a game of Frisbee,yes,no,no,no,no,no,no
A airplane flying low in the sky,yes,no,no,no,no,no,no
A baseball being hit at a baseball game,yes,no,no,no,no,no,no
A baseball game going on while a player holds a bat ready,yes,no,no,no,no,no,no
A baseball game with a batter and a catcher,yes,no,no,no,no,no,no
A baseball hitter stands in position to hit the ball,yes,no,no,no,no,no,no
A baseball pitcher named minor is tossing a pitch on the diamond,yes,no,no,no,no,no,no
A baseball player about to make a run for it,yes,no,no,no,no,no,no
A baseball player at home plate swings at a pitch,yes,no,no,no,no,no,no
A baseball player breaking hit bat after hitting the ball,yes,no,no,no,no,no,no
A baseball player holding a baseball bat on a baseball field,yes,no,no,no,no,no,no
a baseball player in a batters box getting ready to swing a bat,yes,no,no,no,no,no,no
A baseball player is about to bat and play some game,yes,no,no,no,no,no,no
a baseball player is holding up a bat,yes,no,no,no,no,no,no
a baseball player is swinging a bat and some people watching,yes,no,no,no,no,no,no
a baseball player swinging for a ball at home plate,yes,no,no,no,no,no,no
A scope view of a man doing a trick on a skateboard,yes,no,no,no,no,no,no
A red sixteen wheeler carrying inventory on a main street,yes,no,no,no,no,no,no
Back of boy after throwing frisbee to girl across the yard,yes,no,no,no,no,no,no
Birds in the sky and on a bar in an alleyway,yes,no,no,no,no,no,no
Black and white photograph of a man in a striped shirt at a zebra crossing,yes,no,no,no,no,no,no
Black and white photograph of hands on a keyboard,yes,no,no,no,no,no,no
Blurry action scene of a woman walking on a street with an umbrella,yes,no,no,no,no,no,no
Boy jumping off a ramp with a skate board,yes,no,no,no,no,no,no
Woman biking down a street in front of a bus,yes,no,no,no,no,no,no
Woman in green shirt riding on the back of a skateboard,yes,no,no,no,no,no,no
Woman standing beneath road sign on post in city,yes,no,no,no,no,no,no
Woman tennis player jumping with tennis racket to save ball,yes,no,no,no,no,no,no
Wooden kitchen cabinets and drawers with stainless steel top,yes,no,no,no,no,no,no
A tennis player is in air while extending his arm up to return the ball,yes,no,no,no,no,no,no
A man making himself dizzy on a baseball bat,yes,no,no,no,no,no,no
Food and beer near a laptop on a desk,yes,no,no,no,no,no,no
A man in green shirt in dirt area flying a kite,yes,no,no,no,no,no,no
PEOPLE CELEBRATING WITH CHOCOLATE CAKE AND WINE,yes,no,no,no,no,no,no
A boy is smiling and biting into a big piece of pizza,yes,no,no,no,no,no,no
a plane flying low as it gets ready to land,yes,no,no,no,no,no,no
this is an image of two people flying a kite in the snow,yes,no,no,no,no,no,no
