Video,Vanishing Subject,Subject Addition/Reduction,Incongruity Fusion,Omission Error,Temporal Subject Dysmorphia,Action Inference,Unnatural Physics
She is not sure if she likes eating the pizza,no,no,yes,no,no,no,no
The cat is standing on a black backpack,no,no,yes,no,no,no,no
Two men on skateboards hold poles as they are on a road,no,no,yes,no,no,no,no
A woman touches a captive giraffe in a zoo enclosure,no,no,yes,no,no,no,no
Two people riding on the back of a red motorcycle and city,no,no,yes,no,no,no,no
Two horses are being fed by people eating at a table,no,no,yes,no,no,no,no
Tw people ride horses with trees in the background,no,no,yes,no,no,no,no
Three men standing on the street eating sandwiches,no,no,yes,no,no,no,no
Three guys are standing on a beach next to surfboards,no,no,yes,no,no,no,no
This is a wide angle shot of a skateboarder in mid air at a skateboard deck,no,no,yes,no,no,no,no
This clock has a star and letters on it,no,no,yes,no,no,no,no
The train is running on one of the tracks,no,no,yes,no,no,no,no
The man is riding along with his dog in the passenger seat,no,no,yes,no,no,no,no
Swimmers and coaches face each other across a pool,no,no,yes,no,no,no,no
A 4 Way Stop sign on the corner of S 2nd Street and S 5th Ave in front of the Ceresota building,no,no,yes,no,no,no,no
a animal that is walking in a crowd of people,no,no,yes,no,no,no,no
A baby elephant statue on a tree-lined sidewalk,no,no,yes,no,no,no,no
A baby in white shirt at table with food in the foreground,no,no,yes,no,no,no,no
A baby inside of a tub with some toys,no,no,yes,no,no,no,no
A baby sheep nurses from its mother out in the field,no,no,yes,no,no,no,no
A baby standing in a suit case with a woman hold the babies hands,no,no,yes,no,no,no,no
A baseball player hitting a ball and the emperor behind him,no,no,yes,no,no,no,no
A baseball player holding a baseball bat off the field,no,no,yes,no,no,no,no
a baseball player holding up a bat at home plate,no,no,yes,no,no,no,no
A red train caboose on tracks next to power lines,no,no,yes,no,no,no,no
A girl making a finger gun while brushing her teeth,no,no,yes,no,no,no,no
A woman is putting her bike on the bus,no,no,yes,no,no,no,no
Tennis players on the court as crowd watches,no,no,yes,no,no,no,no
Traffic lights on a street glowing in a night sky,no,no,yes,no,no,no,no
Baked pizza with meats and vegetables displayed on table,no,no,yes,no,no,no,no
Bananas hanging above bins of fruits and vegetables,no,no,yes,no,no,no,no
Baseball players warming up at a baseball game with people looking on,no,no,yes,no,no,no,no
Baseball team posing with bats at home plate,no,no,yes,no,no,no,no
bedroom with computer workstation and view of bridge,no,no,yes,no,no,no,no
Benches at a train station with a waiting train,no,no,yes,no,no,no,no
Bike parked in front of a glass door and windows colorfully decorated,no,no,yes,no,no,no,no
Birds and windsurfers on a beach on a windy day,no,no,yes,no,no,no,no
Birds are flocked on a rocky area by a body of water,no,no,yes,no,no,no,no
Black and white image of a man and child with a kite,no,no,yes,no,no,no,no
black and white kites flying so high with strings,no,no,yes,no,no,no,no
Black and white photo of a jail cell with toilet and sink,no,no,yes,no,no,no,no
Black and white photograph of a man using a cell phone on the street,no,no,yes,no,no,no,no
Black and white photograph of a woman holding three apples,no,no,yes,no,no,no,no
black and white picture of baseball players playing baseball on a field,no,no,yes,no,no,no,no
blue and white passenger jet as viewed from below,no,no,yes,no,no,no,no
Blue delivery truck being driven by man down street,no,no,yes,no,no,no,no
Blue train engine at station near lamp post,no,no,yes,no,no,no,no
Boats on the water with mountains in the background,no,no,yes,no,no,no,no
Books are sitting in a room with a laptop windows and television,no,no,yes,no,no,no,no
Boy is in the middle of landing a kickflip,no,no,yes,no,no,no,no
Waffle fries and turkey bacon avocado and cheese tortilla wraps sitting on a plate,no,no,yes,no,no,no,no
We are looking at an artistic photo of a man in a suit and tie,no,no,yes,no,no,no,no
Wild animals standing on a dirt field next to a forest,no,no,yes,no,no,no,no
Wildebeest and zebras are lying in the grass,no,no,yes,no,no,no,no
Winners circle with two men holding flowers and one being given a bunch of bananas,no,no,yes,no,no,no,no
woman in bra and cowboy boots lays on the floor of a bathroom,no,no,yes,no,no,no,no
Woman in red jacket playing with her two black and white dogs,no,no,yes,no,no,no,no
Woman laying on a floor with a dog and a cat watching her,no,no,yes,no,no,no,no
Woman lays her head on another womans lap on a park bench,no,no,yes,no,no,no,no
WOMAN LOOKING INTO BABIES MOUTH IN A BATHROOM,no,no,yes,no,no,no,no
Group of bicyclists on a flat wet road,no,no,yes,no,no,no,no
A view of an air plane jet liner through a window,no,no,yes,no,no,no,no
A woman holding a pair of scissors near her hair,no,no,yes,no,no,no,no
A woman sitting Indian Style while trying to tie a tie,no,no,yes,no,no,no,no
Two tennis players being good sports and shaking hands,no,no,yes,no,no,no,no
A man in a baseball uniform hitting a ball with a bat,no,no,no,no,no,no,yes
A frisbee player throws the frisbee across the grass,no,no,no,no,no,no,yes
Boaters are in the river floating along the stream,no,no,no,no,no,no,yes
Pigeons gather to eat pizza on the sidewalk,no,no,no,no,no,no,yes
A red train is slowly loosing its color,no,no,no,no,no,no,yes
Three men on a field jumping up for a Frisbee,no,no,no,no,no,no,yes
THIS IS A PHOTO OF A GUY PRACTICING AT THE SKATE PARK,no,no,no,no,no,no,yes
THERE IS A MLB BASEBALL GAME THAT IS GOING ON,no,no,no,no,no,no,yes
There is a bird that is sitting on the dock,no,no,no,no,no,no,yes
The skateboarder with a hat has his tongue lolling out,no,no,no,no,no,no,yes
Someone sitting at a laptop eating ice cream,no,no,no,no,no,no,yes
2 men on a court play a game of tennis,no,no,no,no,no,no,yes
3 people smile in the airport amongst a crowd,no,no,no,no,no,no,yes
7 jars full of grain with rotten bananas hanging over them,no,no,no,no,no,no,yes
A baby giraffe gets milk from its mother,no,no,no,no,no,no,yes
A banana and some round fruit on a surface,no,no,no,no,no,no,yes
A baseball palyer running toward first base to beat the throw,no,no,no,no,no,no,yes
A baseball player about to swing at a pitch,no,no,no,no,no,no,yes
a large tower that has a clock on top of it,no,no,no,no,no,no,yes
Baseball game with player about to swing and umpire on his left,no,no,no,no,no,no,yes
Baseball player delivering hit to ball during game,no,no,no,no,no,no,yes
Bathroom with toilet and bathtub with curtain around it,no,no,no,no,no,no,yes
Bedroom bed in foreground background has side table with laptop back and upside down 707 characters labels,no,no,no,no,no,no,yes
Bird sitting on a twig with a half eaten apple under it,no,no,no,no,no,no,yes
White toilet with a shower with a tree on it beside it,no,no,no,no,no,no,yes
Woman in black dress and high heeled shoes on small skateboard,no,no,no,no,no,no,yes
Woman posing in front of two pints of beer,no,no,no,no,no,no,yes
Woman steering a motorized boat with vegetables in it on small body of water,no,no,no,no,no,no,yes
Cut up carrots fry in a large skillet,no,no,no,no,no,no,yes
A tennis player hit a tennis ball with his racquet,no,no,no,no,no,no,yes
a black and white picture of a boy skateboarding,no,no,no,no,no,no,yes
an image of a kitchen setting with bananas in blender,no,no,no,no,no,no,yes
there are cars and a sign on the road,no,no,no,no,no,no,yes
A man crouching on a skateboard riding down the street,no,no,no,no,no,no,yes
A monorail car with dirt on the front,no,no,no,no,no,no,yes
A skateboarder is high in the air performing a jump,no,no,no,no,no,no,yes
A woman pouring wine into glasses on a table,no,no,no,no,no,no,yes
A tennis player is swinging a tennis racket,no,no,no,no,no,no,yes
Cake made out of cookies with candles on top,no,no,yes,no,no,no,no
Calves stand in individual pens at a farm,yes,no,no,no,no,no,no
Canoes and motor boats sit along the waters edge,no,no,no,no,no,yes,no
Cars are parked on the side of a street lined with brick buildings,no,no,yes,no,no,no,no
Cars are transported on a boat across a body of water,no,no,no,no,no,yes,no
Cars parked at night along an urban street with a hotel restaurant and casino,no,no,yes,no,no,no,no
cars parked in a parking lot with a sky background,no,no,yes,no,no,no,no
Cat carefully examining a skateboard on a hardwood floor,no,no,no,no,no,yes,no
Cat cleaning itself on a wooden chair in room,no,no,no,no,no,yes,no
Cat lying indolently on top of a small car,no,no,no,no,no,yes,no
Cat peering out from thick white bed comforter,no,no,yes,no,no,no,no
Cats sitting near other on a modern carpet,no,yes,no,no,no,no,no
Cattle in a pasture with hills in the back,no,no,yes,no,no,no,no
Chairs pushed in under the table with an old record player on top,no,no,yes,no,no,no,no
Child on a pillow on a chair with a teddy bear,no,no,yes,no,no,no,no
Children in uniforms are playing baseball on a baseball field,no,no,no,no,no,no,yes
Children play baseball at a stadium at night as onlookers watch the game,no,no,yes,no,no,no,no
china airplane airline is parked at a dock,no,no,yes,no,no,no,no
Cinnamon rolls sitting on a pan in the oven,no,no,yes,no,no,no,no
City signs including a blue circle with an arrow,no,yes,no,no,no,no,no
Clock tower in the distance against a white sky,no,no,yes,no,no,no,no
clock tower made from brick with iron fencing,no,no,yes,no,no,no,no
clos up of a street sign with building background,no,no,yes,no,no,no,no
Close up of a duck sign triangular white with red border and black duck on a pole with sidewalk grass and building behind,yes,no,no,no,no,no,no
close up of a jar of liquid next to a plate on a table,no,no,no,no,no,yes,no
Close-up of the face of an orange and white cat,no,no,yes,no,no,no,no
Clothes hang on a line above the bed,no,yes,no,no,no,no,no
Clowns stand on the side of an old fire truck as it rides in a parade,no,no,no,no,no,yes,no
Clydesdale horses and people outside a brick barn,no,yes,no,no,no,no,no
Colorful granny afghan is displayed with a large pair of scissors on top,no,no,no,no,no,yes,no
Colorful toys in front of a cell phone rested on its side,yes,no,no,no,no,no,no
Competitor returning volley during tennis match on grass court,no,no,yes,no,no,no,no
Competitors cluster in a cross country ski race,yes,no,no,no,no,no,no
Computer station with one computer and many accessories,no,yes,no,no,no,no,no
Cooked meal items on plate with small bowl of fruit,no,yes,no,no,no,no,no
Couple sitting on a motorcycle on the sidewalk as gentleman takes picture,no,no,no,no,no,yes,no
Cows grazing in a field of dry grass by snowy hills,no,no,yes,no,no,no,no
Cows standing behind a fence that has a segment of fruit on it,no,no,no,no,no,no,yes
Cows strain their necks for hay in between posts of a fence,no,no,yes,no,no,no,no
Cup of coffee on the desk in front of keyboard,no,no,no,no,no,yes,no
Cups toothbrushes and toothpaste hanging from a wooden lattice,no,no,yes,no,no,no,no
Cyclist and a tiny smart car on a stone-paved street by a large open public area,no,no,no,no,no,yes,no
Decommissioned boxcar with an entry stairway next to railroad tracks,no,no,no,no,no,no,yes
Different foods including pizza displayed for eating and a person with tongs serving the food,yes,no,no,no,no,no,no
different kinds of fruit sitting next to each other,no,no,yes,no,no,no,no
disordered chairs lay before a large ship and next to a car,no,no,yes,no,no,no,no
Display at a car show of a small car near a moped,no,yes,no,no,no,no,no
Dog and book in the foreground with other dogs in the background outside,no,yes,no,no,no,no,no
Dog attentive on bed with sheets not yet made,no,no,no,no,no,yes,no
Dog in open grassy field chasing flying red disc,no,no,no,no,no,yes,no
Dog lying next to curb on city sidewalk outside eatery,no,no,no,no,no,no,yes
Dogs in life jackets ride a board over waves,yes,no,no,no,no,no,no
Donkeys walk on the sand along a beach,no,no,yes,no,no,no,no
double decker bus driving around downtown streets in traffic,no,no,yes,no,no,no,no
Dozens of kites fly all along the sandy beach,no,no,yes,no,no,no,no
drawing of a man on a surfboard riding a large wave,yes,no,no,no,no,no,no
Dude in shades sits and eats a hotdog,no,no,yes,no,no,no,no
Eleven apples packed inside a cardboard shipping box,no,yes,no,no,no,no,no
Emergency vehicles and a fireman in a cherry picker at the top of a ladder in a city,no,yes,no,no,no,no,no
Everyone in the family has to have his own computer,no,yes,no,no,no,no,no
A number of people working on laptop computers in a large room,no,no,yes,no,no,no,no
A cat laying its paw on a computer keyboard,no,no,no,no,no,yes,no
A couple of zebra walking across a beach,no,no,no,no,yes,no,no
A vase filled with yellow and purple flowers,no,no,no,yes,no,no,no
A tennis player stretches to reach the ball,no,no,yes,no,no,no,no
Two adults making bizarre faces for a photo shot while drinking beer,no,no,no,no,no,yes,no
A stop bar at a railroad crossing on a quiet street,no,no,no,yes,no,no,no
There is a person on a snowboard up in the air,no,no,no,yes,no,no,no
A baseball player swings at a low pitch,no,no,no,no,no,yes,no
A boy sits in a living room using a laptop computer,no,no,no,no,yes,no,no
people in a museum on with earphone on,no,no,no,yes,no,no,no
two girls standing under a sesame street sign,no,yes,no,no,no,no,no
A man in athletic wear swings a tennis racket through the air,no,no,no,no,no,no,yes
Kitchen with wooden cabinets and a white microwave,no,no,no,yes,no,no,no
A raw turkey is in an open oven,no,no,no,no,no,yes,no
Ukraine International plane sitting on a runway at an airport,no,no,no,yes,no,no,no
Horse and rider 26 walking by camera,no,no,no,yes,no,no,no
A herd of elephants near the river bank,no,no,no,no,no,yes,no
a collage of pictures with a person riding a camel on a dirt road,no,no,no,no,no,yes,no
some traffic turning left on a busy street,no,no,no,yes,no,no,no
A dog laying on green grass next to a frisbee,no,no,no,no,no,yes,no
An intersection has a NYPD security camera sign on a post,no,no,no,yes,no,no,no
A marina at night has several boats docked in it,no,no,no,yes,no,no,no
a bedroom with a bed that has white linen,no,no,no,yes,no,no,no
Four lambs on a farm enjoy eating their hay,yes,no,no,no,no,no,no
A small bird is standing in the grass,no,no,no,no,no,yes,no
many cows on a dirt ground with a van in the background,no,no,no,no,no,yes,no
Two men are standing by each other in a parking lot,no,no,no,yes,no,no,no
A young person is skiing down a slope near the woods,no,no,no,no,no,no,yes
A colorful beach umbrella covering beach chairs and a bag,no,no,no,yes,no,no,no
women in a kitchen cooking with uniforms in side,no,no,no,no,yes,no,no
A bowl with vegetables and lemons in it,no,no,no,yes,no,no,no
a small cat pushes up against a door,yes,no,no,no,no,no,no
A person is standing in the grass in front of a stop sign,no,no,no,no,yes,no,no
A man is on a buggy pulled by white horses,no,no,no,no,yes,no,no
Three zebras standing together as they drink water,no,no,no,yes,no,no,no
This is a young girl holding a rainbow umbrella,no,no,no,yes,no,no,no
a train heading for the curve in the track,no,no,no,no,no,yes,no
there is a bus driving down a road near a mountain,no,no,no,yes,no,no,no
A softly lit hotel room featuring two beds,no,no,no,yes,no,no,no
A group of children are eating pizza and drinking punch,no,no,no,yes,no,no,no
there are three men that are sitting at a table together,no,no,no,no,yes,no,no
A photo focused on a building looking at the clock tower,no,no,no,yes,no,no,no
A fork lying next to the remains of a cake,no,no,no,yes,no,no,no
A man throwing a frisbee into a frisbee golf basket,no,no,no,no,no,no,yes
Two giraffes extend necks to onlooker behind fence,no,no,no,yes,no,no,no
A skateboarder performing a trick on a busy sidewalk,no,no,no,yes,no,no,no
Happy people arriving at an event in tour buses,no,yes,no,no,no,no,no
A woman holding a baby and sitting next to a dog,no,no,no,no,yes,no,no
Comics a beverage in a mug and a pastry are on a yellow table,no,no,no,yes,no,no,no
A person on a skateboard with his arms in the air,no,no,no,no,no,yes,no
there is a male tennis player that is on the court,no,no,no,no,no,yes,no
A bathroom showing a full-sized and child-sized toilet and trash can,no,no,no,yes,no,no,no
A baseball player holds his bat and waits for the pitch,no,no,no,no,yes,no,no
An obelisk stands in a square in front of a large building with a clock,no,no,no,no,no,no,yes
a counter top with two bowls of fruits and a banana in a glass of liquid,no,yes,no,no,no,no,no
A man riding a bike with an umbrella is going past a shop,no,no,no,no,no,no,yes
a number of people sitting on lawn chairs in a field,no,no,no,no,yes,no,no
A mouse sits on top of a mousepad next to a white keyboard,no,no,no,no,no,yes,no
An antique passenger train spewing smoke near a harbor,yes,no,no,no,no,no,no
There are many objects sitting on the table,no,no,no,no,no,no,yes
Some fruit and a bowl are setting on some fabric,no,no,no,no,no,no,yes
Two photos one of a man carrying his dog in a bike and the other a close view of the dog,yes,no,no,no,no,no,no
A professional tennis plays returning a difficult shot,no,no,no,no,no,no,yes
Two young children are using laptops at a desk,no,yes,no,no,no,no,no
there is a small bike parked on a street near a car,no,yes,no,no,no,no,no
A man and a boy who are playing a video game,no,no,no,no,yes,no,no
A bus window that has people on different bikes,no,no,no,no,no,no,yes
Several birds are blind folded and perched on a bar,no,yes,no,no,no,no,no
People are on surfboards riding big choppy waves,yes,no,no,no,no,no,no
A person flying through the air while riding skis,no,no,no,no,no,no,yes
A jet engine flying over a cloud filled sky,no,no,no,no,no,no,yes
Those trains are passing each other on the track,no,no,no,no,no,no,yes
A couple of guys are playing a soccer game,no,no,no,no,no,yes,no
An orange fire department has a fire engine,no,yes,no,no,no,no,no
A GROUP OF PEOPLE ARE ON THE WATER,no,no,no,no,no,no,yes
a skier is going down a snow covered hill,no,no,no,no,no,no,yes
A road has many traffic signals on it as well as a vehicle,no,no,no,no,no,no,yes
A person is surfing inside of a wave,yes,no,no,no,no,no,no
a black and white street sign against a blue sky,yes,no,no,no,no,no,no
the tennis player is about to hit the ball back,no,no,no,no,yes,no,no
A man scooping food into a pan,yes,no,no,no,no,no,no
A person on a court with a tennis court,no,no,no,no,no,yes,no
three people wearing suits and a table with money,no,no,no,yes,no,no,no
Helmeted skateboarder in motion inside a full pipe,yes,no,no,no,no,no,no
A snowboarding pulling a trick in a scenic setting,no,no,no,no,no,no,yes
A couple of kites flying over a large body of water,yes,no,no,no,no,no,no
A woman holding an unpeeled banana next to a table,no,yes,no,no,no,no,no
Women cross country skiing in her brown snow suit,no,no,no,no,no,yes,no
a rainbow in the sky next to a stop sign,no,no,no,no,no,yes,no
A man holds up a tennis racket above his head,no,no,no,no,no,yes,no
There are train cars sitting unused in a station,no,no,no,no,no,yes,no
A child wearing a black shirt and green shorts asleep on a picnic bench,no,no,no,yes,no,no,no
race participants in helmets checking out the local surroundings,no,no,no,no,no,yes,no
Red and yellow tour train on pathway near grassy areas,yes,no,no,no,no,no,no
Red apple and yellow banana sitting next to each other,no,yes,no,no,no,no,no
Red green and white parrot sitting on a tree branch,yes,no,no,no,no,no,no
Red lights shine bright above multi-lane highway,no,no,no,no,yes,no,no
Red traffic light with stopped cars at dusk,no,no,no,no,no,yes,no
reds of people looking at motorcycles two guys are carrying red bags,no,no,no,no,no,yes,no
Residential bathroom with modern design and tile floor,no,no,yes,no,no,no,no
ridgewood and charles ave stop sign four way street,no,no,yes,no,no,no,no
Roast beef and veggie panini sandwich with a small ramekin of soup,yes,no,no,no,no,no,no
room with a view has chairs large table display with an array of objects on it,no,no,yes,no,no,no,no
Rows of identical planes wait at an airport,yes,no,no,no,no,no,no
Rusty scissors standing straight up next to another rusty object,no,no,yes,no,no,no,no
s zebra standing by a fence while eating some grass,no,no,yes,no,no,no,no
Sandwich item with meat and vegetables displayed on plate for consumption,yes,no,no,no,no,no,no
Sandwiches and snacks are laid out on the table,no,no,yes,no,no,no,no
Santa Clause is waving going down the street on a motorcycle,no,no,no,no,no,yes,no
Scissors next to a knitting needle and a needle,no,no,yes,no,no,no,no
Sea birds walking on the beach and eating,no,no,no,no,no,yes,no
Seated teenage girl eating her breakfast at home,no,no,no,no,yes,no,no
Series of lights coming off of a passenger train at night,no,no,yes,no,no,no,no
Service vehicles at the airport on the tarmac,no,no,no,no,no,yes,no
Seven airplanes flying in formation trailing red and white smoke,no,yes,no,no,no,no,no
Seven canoes are lined in front of the lake,no,yes,no,no,no,no,no
Seven suitcases stacked on top of one another in front of a booth,no,yes,no,no,no,no,no
Seven vases sit displayed on top of pedestals,no,yes,no,no,no,no,no
She has a big towel wrapped around her just washed hair,no,no,no,no,no,yes,no
Sheep grazing on a hill in the sun,yes,no,no,no,no,no,no
Sheep on a bench during the day on a farm,no,yes,no,no,no,no,no
Shes learning to surf in the shallow water,yes,no,no,no,no,no,no
side view of a laptop sitting on a coffee table,no,no,no,no,no,yes,no
Sight of cows standing and laying within a fenced in area,no,no,no,no,no,no,yes
Six men and a motorcycle sitting in front of a building,no,yes,no,no,no,no,no
Six people with their hands on an outdoor kiln,no,yes,no,no,no,no,no
Six red graduation teddy bears lined up in a row,no,yes,no,no,no,no,no
Six sheep are standing near a wooden fence,no,yes,no,no,no,no,no
Skate boarder does a trick on a city sidewalk,no,no,no,no,yes,no,no
Skate boarder keeping balance while navigating green cones,no,no,no,no,no,yes,no
Skateboarder and blue shirt and black jeans jumping on his board,no,no,no,no,no,no,yes
Skateboarder at the skate park climbing a wall,no,no,no,no,no,yes,no
skateboarder grinding down the retaining wall of a park,no,no,no,no,no,yes,no
Skateboarders waiting to hear the go ahead word to skate down a ramp,no,yes,no,no,no,no,no
Skier at event resting on wall near ski run,no,no,no,no,no,yes,no
Skier coming down a mountain full of snow,no,no,no,no,no,yes,no
Slices of orange are arranged on a plate,no,no,no,no,no,no,yes
A tall clock tower in the background with smaller buildings in the front of it,no,yes,no,no,no,no,no
a topless man taking a selfie in a bathroom,no,yes,no,no,no,no,no
A plate of avocado tomatoes and eggs beside two drinks,no,no,no,no,no,yes,no
A man being pulled along in the ocean on a small boat with a German shepherd running beside him,no,no,no,no,no,yes,no
A box of donuts and a cup of coffee,no,no,no,no,no,no,yes
A long train travels on the tracks in the countryside,yes,no,no,no,no,no,no
A group of people standing in a room playing video games,no,no,no,no,yes,no,no
Gated dog park area where some dogs have frisbees,yes,no,no,no,no,no,no
a woman is jumping on a white bed,yes,no,no,no,no,no,no
Two clocks sit inside of a doctors office,no,no,no,no,yes,no,no
Three zebras graze in a field staying alert for predators,no,yes,no,no,no,no,no
A baseball player stands in the outfield with his mitt to his side,no,no,no,no,no,yes,no
A container of food in a microwave oven,no,no,no,no,yes,no,no
A baseball player hitting a ball it looks like a statue,no,no,no,no,yes,no,no
I can see that the hitter just hit the ball,no,no,no,no,yes,no,no
A white cat with two different color eyes is resting in a sink,yes,no,no,no,no,no,no
Theres several railroad tracks with a couple trains on them,no,yes,no,no,no,no,no
older infant sitting outside holding a baby toothbrush in his mouth,no,no,no,no,yes,no,no
A toy train set rides around a track,no,no,no,no,no,yes,no
a man laying back in a chair with a donut in his mouth,yes,no,no,no,no,no,no
A beautiful woman holding a tennis racquet in her hand,no,no,no,no,yes,no,no
A black cat playing on top of a wooden chair,no,no,no,no,no,yes,no
A women in a dress talks on her phone while riding a bike,no,no,no,no,yes,no,no
Three men standing in a row holding up snowboards,no,yes,no,no,no,no,no
Glazed doughnut on a green napkin on a pink counter top,no,no,no,no,no,yes,no
Tennis player attempting to hit an incoming ball,no,no,no,no,no,no,yes
A batter is taking a swing in a vintage photo,no,no,no,no,no,no,yes
An adult giraffe places its head on a young giraffe,no,no,no,no,yes,no,no
A man pouring water for a cow to drink,no,no,no,no,yes,no,no
The airplane is flying over the mountains below,yes,no,no,no,no,no,no
A kite flown by a person with their kite in the sky,no,yes,no,no,no,no,no
A couple of cows being chased by a dog behind a fence,no,no,no,no,yes,no,no
Two in floor toilets in separate stalls with the doors open,no,yes,no,no,no,no,no
Man surfing on his board on a high wave,no,no,no,no,no,yes,no
A biplane on the beach parked on the shoreline of the beach with water coming up on it and another plane next to it,no,yes,no,no,no,no,no
A boy and a girl putting pizza on plates,no,yes,no,no,no,no,no
A fridge is full of beer at a restaurant,no,yes,no,no,no,no,no
A pair of people are busy in a kitchen,no,no,no,no,yes,no,no
A person is riding down a steep hill on a snowboard,no,yes,no,no,no,no,no
A skier stands atop a snowy mountain preparing to ski down,no,no,no,no,no,yes,no
Man riding on a skateboard getting pulled by a rope,no,no,no,no,no,no,yes
Low view of small passenger train moving through the countryside,no,no,no,no,no,no,yes
Two trains docked at a train station during the day,no,no,no,yes,no,no,no
A young boy wearing a baseball uniform and glove running,yes,no,no,no,no,no,no
three signs sit on top of a street pole,no,yes,no,no,no,no,no
two people sitting near sheep on hay,no,yes,no,no,no,no,no
A blue boat sits near the dock in the water,no,yes,no,no,no,no,no
A young child and two adults go skiing,no,yes,no,no,no,no,no
