Video,Vanishing Subject,Subject Addition/Reduction,Incongruity Fusion,Omission Error,Temporal Subject Dysmorphia,Action Inference,Unnatural Physics
She is not sure if she likes eating the pizza,0,0,1,0,0,0,0
The cat is standing on a black backpack,0,0,1,0,0,0,0
Two men on skateboards hold poles as they are on a road,0,0,1,0,0,0,0
A woman touches a captive giraffe in a zoo enclosure,0,0,1,0,0,0,0
Two people riding on the back of a red motorcycle and city,0,0,1,0,0,0,0
Two horses are being fed by people eating at a table,0,0,1,0,0,0,0
Tw people ride horses with trees in the background,0,0,1,0,0,0,0
Three men standing on the street eating sandwiches,0,0,1,0,0,0,0
Three guys are standing on a beach next to surfboards,0,0,1,0,0,0,0
This is a wide angle shot of a skateboarder in mid air at a skateboard deck,0,0,1,0,0,0,0
This clock has a star and letters on it,0,0,1,0,0,0,0
The train is running on one of the tracks,0,0,1,0,0,0,0
The man is riding along with his dog in the passenger seat,0,0,1,0,0,0,0
Swimmers and coaches face each other across a pool,0,0,1,0,0,0,0
A 4 Way Stop sign on the corner of S 2nd Street and S 5th Ave in front of the Ceresota building,0,0,1,0,0,0,0
a animal that is walking in a crowd of people,0,0,1,0,0,0,0
A baby elephant statue on a tree-lined sidewalk,0,0,1,0,0,0,0
A baby in white shirt at table with food in the foreground,0,0,1,0,0,0,0
A baby inside of a tub with some toys,0,0,1,0,0,0,0
A baby sheep nurses from its mother out in the field,0,0,1,0,0,0,0
A baby standing in a suit case with a woman hold the babies hands,0,0,1,0,0,0,0
A baseball player hitting a ball and the emperor behind him,0,0,1,0,0,0,0
A baseball player holding a baseball bat off the field,0,0,1,0,0,0,0
a baseball player holding up a bat at home plate,0,0,1,0,0,0,0
A red train caboose on tracks next to power lines,0,0,1,0,0,0,0
A girl making a finger gun while brushing her teeth,0,0,1,0,0,0,0
A woman is putting her bike on the bus,0,0,1,0,0,0,0
Tennis players on the court as crowd watches,0,0,1,0,0,0,0
Traffic lights on a street glowing in a night sky,0,0,1,0,0,0,0
Baked pizza with meats and vegetables displayed on table,0,0,1,0,0,0,0
Bananas hanging above bins of fruits and vegetables,0,0,1,0,0,0,0
Baseball players warming up at a baseball game with people looking on,0,0,1,0,0,0,0
Baseball team posing with bats at home plate,0,0,1,0,0,0,0
bedroom with computer workstation and view of bridge,0,0,1,0,0,0,0
Benches at a train station with a waiting train,0,0,1,0,0,0,0
Bike parked in front of a glass door and windows colorfully decorated,0,0,1,0,0,0,0
Birds and windsurfers on a beach on a windy day,0,0,1,0,0,0,0
Birds are flocked on a rocky area by a body of water,0,0,1,0,0,0,0
Black and white image of a man and child with a kite,0,0,1,0,0,0,0
black and white kites flying so high with strings,0,0,1,0,0,0,0
Black and white photo of a jail cell with toilet and sink,0,0,1,0,0,0,0
Black and white photograph of a man using a cell phone on the street,0,0,1,0,0,0,0
Black and white photograph of a woman holding three apples,0,0,1,0,0,0,0
black and white picture of baseball players playing baseball on a field,0,0,1,0,0,0,0
blue and white passenger jet as viewed from below,0,0,1,0,0,0,0
Blue delivery truck being driven by man down street,0,0,1,0,0,0,0
Blue train engine at station near lamp post,0,0,1,0,0,0,0
Boats on the water with mountains in the background,0,0,1,0,0,0,0
Books are sitting in a room with a laptop windows and television,0,0,1,0,0,0,0
Boy is in the middle of landing a kickflip,0,0,1,0,0,0,0
Waffle fries and turkey bacon avocado and cheese tortilla wraps sitting on a plate,0,0,1,0,0,0,0
We are looking at an artistic photo of a man in a suit and tie,0,0,1,0,0,0,0
Wild animals standing on a dirt field next to a forest,0,0,1,0,0,0,0
Wildebeest and zebras are lying in the grass,0,0,1,0,0,0,0
Winners circle with two men holding flowers and one being given a bunch of bananas,0,0,1,0,0,0,0
woman in bra and cowboy boots lays on the floor of a bathroom,0,0,1,0,0,0,0
Woman in red jacket playing with her two black and white dogs,0,0,1,0,0,0,0
Woman laying on a floor with a dog and a cat watching her,0,0,1,0,0,0,0
Woman lays her head on another womans lap on a park bench,0,0,1,0,0,0,0
WOMAN LOOKING INTO BABIES MOUTH IN A BATHROOM,0,0,1,0,0,0,0
Group of bicyclists on a flat wet road,0,0,1,0,0,0,0
A view of an air plane jet liner through a window,0,0,1,0,0,0,0
A woman holding a pair of scissors near her hair,0,0,1,0,0,0,0
A woman sitting Indian Style while trying to tie a tie,0,0,1,0,0,0,0
Two tennis players being good sports and shaking hands,0,0,1,0,0,0,0
A man in a baseball uniform hitting a ball with a bat,0,0,0,0,0,0,1
A frisbee player throws the frisbee across the grass,0,0,0,0,0,0,1
Boaters are in the river floating along the stream,0,0,0,0,0,0,1
Pigeons gather to eat pizza on the sidewalk,0,0,0,0,0,0,1
A red train is slowly loosing its color,0,0,0,0,0,0,1
Three men on a field jumping up for a Frisbee,0,0,0,0,0,0,1
THIS IS A PHOTO OF A GUY PRACTICING AT THE SKATE PARK,0,0,0,0,0,0,1
THERE IS A MLB BASEBALL GAME THAT IS GOING ON,0,0,0,0,0,0,1
There is a bird that is sitting on the dock,0,0,0,0,0,0,1
The skateboarder with a hat has his tongue lolling out,0,0,0,0,0,0,1
Someone sitting at a laptop eating ice cream,0,0,0,0,0,0,1
2 men on a court play a game of tennis,0,0,0,0,0,0,1
3 people smile in the airport amongst a crowd,0,0,0,0,0,0,1
7 jars full of grain with rotten bananas hanging over them,0,0,0,0,0,0,1
A baby giraffe gets milk from its mother,0,0,0,0,0,0,1
A banana and some round fruit on a surface,0,0,0,0,0,0,1
A baseball palyer running toward first base to beat the throw,0,0,0,0,0,0,1
A baseball player about to swing at a pitch,0,0,0,0,0,0,1
a large tower that has a clock on top of it,0,0,0,0,0,0,1
Baseball game with player about to swing and umpire on his left,0,0,0,0,0,0,1
Baseball player delivering hit to ball during game,0,0,0,0,0,0,1
Bathroom with toilet and bathtub with curtain around it,0,0,0,0,0,0,1
Bedroom bed in foreground background has side table with laptop back and upside down 707 characters labels,0,0,0,0,0,0,1
Bird sitting on a twig with a half eaten apple under it,0,0,0,0,0,0,1
White toilet with a shower with a tree on it beside it,0,0,0,0,0,0,1
Woman in black dress and high heeled shoes on small skateboard,0,0,0,0,0,0,1
Woman posing in front of two pints of beer,0,0,0,0,0,0,1
Woman steering a motorized boat with vegetables in it on small body of water,0,0,0,0,0,0,1
Cut up carrots fry in a large skillet,0,0,0,0,0,0,1
A tennis player hit a tennis ball with his racquet,0,0,0,0,0,0,1
a black and white picture of a boy skateboarding,0,0,0,0,0,0,1
an image of a kitchen setting with bananas in blender,0,0,0,0,0,0,1
there are cars and a sign on the road,0,0,0,0,0,0,1
A man crouching on a skateboard riding down the street,0,0,0,0,0,0,1
A monorail car with dirt on the front,0,0,0,0,0,0,1
A skateboarder is high in the air performing a jump,0,0,0,0,0,0,1
A woman pouring wine into glasses on a table,0,0,0,0,0,0,1
A tennis player is swinging a tennis racket,0,0,0,0,0,0,1
Cake made out of cookies with candles on top,0,0,1,0,0,0,0
Calves stand in individual pens at a farm,1,0,0,0,0,0,0
Canoes and motor boats sit along the waters edge,0,0,0,0,0,1,0
Cars are parked on the side of a street lined with brick buildings,0,0,1,0,0,0,0
Cars are transported on a boat across a body of water,0,0,0,0,0,1,0
Cars parked at night along an urban street with a hotel restaurant and casino,0,0,1,0,0,0,0
cars parked in a parking lot with a sky background,0,0,1,0,0,0,0
Cat carefully examining a skateboard on a hardwood floor,0,0,0,0,0,1,0
Cat cleaning itself on a wooden chair in room,0,0,0,0,0,1,0
Cat lying indolently on top of a small car,0,0,0,0,0,1,0
Cat peering out from thick white bed comforter,0,0,1,0,0,0,0
Cats sitting near other on a modern carpet,0,1,0,0,0,0,0
Cattle in a pasture with hills in the back,0,0,1,0,0,0,0
Chairs pushed in under the table with an old record player on top,0,0,1,0,0,0,0
Child on a pillow on a chair with a teddy bear,0,0,1,0,0,0,0
Children in uniforms are playing baseball on a baseball field,0,0,0,0,0,0,1
Children play baseball at a stadium at night as onlookers watch the game,0,0,1,0,0,0,0
china airplane airline is parked at a dock,0,0,1,0,0,0,0
Cinnamon rolls sitting on a pan in the oven,0,0,1,0,0,0,0
City signs including a blue circle with an arrow,0,1,0,0,0,0,0
Clock tower in the distance against a white sky,0,0,1,0,0,0,0
clock tower made from brick with iron fencing,0,0,1,0,0,0,0
clos up of a street sign with building background,0,0,1,0,0,0,0
Close up of a duck sign triangular white with red border and black duck on a pole with sidewalk grass and building behind,1,0,0,0,0,0,0
close up of a jar of liquid next to a plate on a table,0,0,0,0,0,1,0
Close-up of the face of an orange and white cat,0,0,1,0,0,0,0
Clothes hang on a line above the bed,0,1,0,0,0,0,0
Clowns stand on the side of an old fire truck as it rides in a parade,0,0,0,0,0,1,0
Clydesdale horses and people outside a brick barn,0,1,0,0,0,0,0
Colorful granny afghan is displayed with a large pair of scissors on top,0,0,0,0,0,1,0
Colorful toys in front of a cell phone rested on its side,1,0,0,0,0,0,0
Competitor returning volley during tennis match on grass court,0,0,1,0,0,0,0
Competitors cluster in a cross country ski race,1,0,0,0,0,0,0
Computer station with one computer and many accessories,0,1,0,0,0,0,0
Cooked meal items on plate with small bowl of fruit,0,1,0,0,0,0,0
Couple sitting on a motorcycle on the sidewalk as gentleman takes picture,0,0,0,0,0,1,0
Cows grazing in a field of dry grass by snowy hills,0,0,1,0,0,0,0
Cows standing behind a fence that has a segment of fruit on it,0,0,0,0,0,0,1
Cows strain their necks for hay in between posts of a fence,0,0,1,0,0,0,0
Cup of coffee on the desk in front of keyboard,0,0,0,0,0,1,0
Cups toothbrushes and toothpaste hanging from a wooden lattice,0,0,1,0,0,0,0
Cyclist and a tiny smart car on a stone-paved street by a large open public area,0,0,0,0,0,1,0
Decommissioned boxcar with an entry stairway next to railroad tracks,0,0,0,0,0,0,1
Different foods including pizza displayed for eating and a person with tongs serving the food,1,0,0,0,0,0,0
different kinds of fruit sitting next to each other,0,0,1,0,0,0,0
disordered chairs lay before a large ship and next to a car,0,0,1,0,0,0,0
Display at a car show of a small car near a moped,0,1,0,0,0,0,0
Dog and book in the foreground with other dogs in the background outside,0,1,0,0,0,0,0
Dog attentive on bed with sheets not yet made,0,0,0,0,0,1,0
Dog in open grassy field chasing flying red disc,0,0,0,0,0,1,0
Dog lying next to curb on city sidewalk outside eatery,0,0,0,0,0,0,1
Dogs in life jackets ride a board over waves,1,0,0,0,0,0,0
Donkeys walk on the sand along a beach,0,0,1,0,0,0,0
double decker bus driving around downtown streets in traffic,0,0,1,0,0,0,0
Dozens of kites fly all along the sandy beach,0,0,1,0,0,0,0
drawing of a man on a surfboard riding a large wave,1,0,0,0,0,0,0
Dude in shades sits and eats a hotdog,0,0,1,0,0,0,0
Eleven apples packed inside a cardboard shipping box,0,1,0,0,0,0,0
Emergency vehicles and a fireman in a cherry picker at the top of a ladder in a city,0,1,0,0,0,0,0
Everyone in the family has to have his own computer,0,1,0,0,0,0,0
A number of people working on laptop computers in a large room,0,0,1,0,0,0,0
A cat laying its paw on a computer keyboard,0,0,0,0,0,1,0
A couple of zebra walking across a beach,0,0,0,0,1,0,0
A vase filled with yellow and purple flowers,0,0,0,1,0,0,0
A tennis player stretches to reach the ball,0,0,1,0,0,0,0
Two adults making bizarre faces for a photo shot while drinking beer,0,0,0,0,0,1,0
A stop bar at a railroad crossing on a quiet street,0,0,0,1,0,0,0
There is a person on a snowboard up in the air,0,0,0,1,0,0,0
A baseball player swings at a low pitch,0,0,0,0,0,1,0
A boy sits in a living room using a laptop computer,0,0,0,0,1,0,0
people in a museum on with earphone on,0,0,0,1,0,0,0
two girls standing under a sesame street sign,0,1,0,0,0,0,0
A man in athletic wear swings a tennis racket through the air,0,0,0,0,0,0,1
Kitchen with wooden cabinets and a white microwave,0,0,0,1,0,0,0
A raw turkey is in an open oven,0,0,0,0,0,1,0
Ukraine International plane sitting on a runway at an airport,0,0,0,1,0,0,0
Horse and rider 26 walking by camera,0,0,0,1,0,0,0
A herd of elephants near the river bank,0,0,0,0,0,1,0
a collage of pictures with a person riding a camel on a dirt road,0,0,0,0,0,1,0
some traffic turning left on a busy street,0,0,0,1,0,0,0
A dog laying on green grass next to a frisbee,0,0,0,0,0,1,0
An intersection has a NYPD security camera sign on a post,0,0,0,1,0,0,0
A marina at night has several boats docked in it,0,0,0,1,0,0,0
a bedroom with a bed that has white linen,0,0,0,1,0,0,0
Four lambs on a farm enjoy eating their hay,1,0,0,0,0,0,0
A small bird is standing in the grass,0,0,0,0,0,1,0
many cows on a dirt ground with a van in the background,0,0,0,0,0,1,0
Two men are standing by each other in a parking lot,0,0,0,1,0,0,0
A young person is skiing down a slope near the woods,0,0,0,0,0,0,1
A colorful beach umbrella covering beach chairs and a bag,0,0,0,1,0,0,0
women in a kitchen cooking with uniforms in side,0,0,0,0,1,0,0
A bowl with vegetables and lemons in it,0,0,0,1,0,0,0
a small cat pushes up against a door,1,0,0,0,0,0,0
A person is standing in the grass in front of a stop sign,0,0,0,0,1,0,0
A man is on a buggy pulled by white horses,0,0,0,0,1,0,0
Three zebras standing together as they drink water,0,0,0,1,0,0,0
This is a young girl holding a rainbow umbrella,0,0,0,1,0,0,0
a train heading for the curve in the track,0,0,0,0,0,1,0
there is a bus driving down a road near a mountain,0,0,0,1,0,0,0
A softly lit hotel room featuring two beds,0,0,0,1,0,0,0
A group of children are eating pizza and drinking punch,0,0,0,1,0,0,0
there are three men that are sitting at a table together,0,0,0,0,1,0,0
A photo focused on a building looking at the clock tower,0,0,0,1,0,0,0
A fork lying next to the remains of a cake,0,0,0,1,0,0,0
A man throwing a frisbee into a frisbee golf basket,0,0,0,0,0,0,1
Two giraffes extend necks to onlooker behind fence,0,0,0,1,0,0,0
A skateboarder performing a trick on a busy sidewalk,0,0,0,1,0,0,0
Happy people arriving at an event in tour buses,0,1,0,0,0,0,0
A woman holding a baby and sitting next to a dog,0,0,0,0,1,0,0
Comics a beverage in a mug and a pastry are on a yellow table,0,0,0,1,0,0,0
A person on a skateboard with his arms in the air,0,0,0,0,0,1,0
there is a male tennis player that is on the court,0,0,0,0,0,1,0
A bathroom showing a full-sized and child-sized toilet and trash can,0,0,0,1,0,0,0
A baseball player holds his bat and waits for the pitch,0,0,0,0,1,0,0
An obelisk stands in a square in front of a large building with a clock,0,0,0,0,0,0,1
a counter top with two bowls of fruits and a banana in a glass of liquid,0,1,0,0,0,0,0
A man riding a bike with an umbrella is going past a shop,0,0,0,0,0,0,1
a number of people sitting on lawn chairs in a field,0,0,0,0,1,0,0
A mouse sits on top of a mousepad next to a white keyboard,0,0,0,0,0,1,0
An antique passenger train spewing smoke near a harbor,1,0,0,0,0,0,0
There are many objects sitting on the table,0,0,0,0,0,0,1
Some fruit and a bowl are setting on some fabric,0,0,0,0,0,0,1
Two photos one of a man carrying his dog in a bike and the other a close view of the dog,1,0,0,0,0,0,0
A professional tennis plays returning a difficult shot,0,0,0,0,0,0,1
Two young children are using laptops at a desk,0,1,0,0,0,0,0
there is a small bike parked on a street near a car,0,1,0,0,0,0,0
A man and a boy who are playing a video game,0,0,0,0,1,0,0
A bus window that has people on different bikes,0,0,0,0,0,0,1
Several birds are blind folded and perched on a bar,0,1,0,0,0,0,0
People are on surfboards riding big choppy waves,1,0,0,0,0,0,0
A person flying through the air while riding skis,0,0,0,0,0,0,1
A jet engine flying over a cloud filled sky,0,0,0,0,0,0,1
Those trains are passing each other on the track,0,0,0,0,0,0,1
A couple of guys are playing a soccer game,0,0,0,0,0,1,0
An orange fire department has a fire engine,0,1,0,0,0,0,0
A GROUP OF PEOPLE ARE ON THE WATER,0,0,0,0,0,0,1
a skier is going down a snow covered hill,0,0,0,0,0,0,1
A road has many traffic signals on it as well as a vehicle,0,0,0,0,0,0,1
A person is surfing inside of a wave,1,0,0,0,0,0,0
a black and white street sign against a blue sky,1,0,0,0,0,0,0
the tennis player is about to hit the ball back,0,0,0,0,1,0,0
A man scooping food into a pan,1,0,0,0,0,0,0
A person on a court with a tennis court,0,0,0,0,0,1,0
three people wearing suits and a table with money,0,0,0,1,0,0,0
Helmeted skateboarder in motion inside a full pipe,1,0,0,0,0,0,0
A snowboarding pulling a trick in a scenic setting,0,0,0,0,0,0,1
A couple of kites flying over a large body of water,1,0,0,0,0,0,0
A woman holding an unpeeled banana next to a table,0,1,0,0,0,0,0
Women cross country skiing in her brown snow suit,0,0,0,0,0,1,0
a rainbow in the sky next to a stop sign,0,0,0,0,0,1,0
A man holds up a tennis racket above his head,0,0,0,0,0,1,0
There are train cars sitting unused in a station,0,0,0,0,0,1,0
A child wearing a black shirt and green shorts asleep on a picnic bench,0,0,0,1,0,0,0
race participants in helmets checking out the local surroundings,0,0,0,0,0,1,0
Red and yellow tour train on pathway near grassy areas,1,0,0,0,0,0,0
Red apple and yellow banana sitting next to each other,0,1,0,0,0,0,0
Red green and white parrot sitting on a tree branch,1,0,0,0,0,0,0
Red lights shine bright above multi-lane highway,0,0,0,0,1,0,0
Red traffic light with stopped cars at dusk,0,0,0,0,0,1,0
reds of people looking at motorcycles two guys are carrying red bags,0,0,0,0,0,1,0
Residential bathroom with modern design and tile floor,0,0,1,0,0,0,0
ridgewood and charles ave stop sign four way street,0,0,1,0,0,0,0
Roast beef and veggie panini sandwich with a small ramekin of soup,1,0,0,0,0,0,0
room with a view has chairs large table display with an array of objects on it,0,0,1,0,0,0,0
Rows of identical planes wait at an airport,1,0,0,0,0,0,0
Rusty scissors standing straight up next to another rusty object,0,0,1,0,0,0,0
s zebra standing by a fence while eating some grass,0,0,1,0,0,0,0
Sandwich item with meat and vegetables displayed on plate for consumption,1,0,0,0,0,0,0
Sandwiches and snacks are laid out on the table,0,0,1,0,0,0,0
Santa Clause is waving going down the street on a motorcycle,0,0,0,0,0,1,0
Scissors next to a knitting needle and a needle,0,0,1,0,0,0,0
Sea birds walking on the beach and eating,0,0,0,0,0,1,0
Seated teenage girl eating her breakfast at home,0,0,0,0,1,0,0
Series of lights coming off of a passenger train at night,0,0,1,0,0,0,0
Service vehicles at the airport on the tarmac,0,0,0,0,0,1,0
Seven airplanes flying in formation trailing red and white smoke,0,1,0,0,0,0,0
Seven canoes are lined in front of the lake,0,1,0,0,0,0,0
Seven suitcases stacked on top of one another in front of a booth,0,1,0,0,0,0,0
Seven vases sit displayed on top of pedestals,0,1,0,0,0,0,0
She has a big towel wrapped around her just washed hair,0,0,0,0,0,1,0
Sheep grazing on a hill in the sun,1,0,0,0,0,0,0
Sheep on a bench during the day on a farm,0,1,0,0,0,0,0
Shes learning to surf in the shallow water,1,0,0,0,0,0,0
side view of a laptop sitting on a coffee table,0,0,0,0,0,1,0
Sight of cows standing and laying within a fenced in area,0,0,0,0,0,0,1
Six men and a motorcycle sitting in front of a building,0,1,0,0,0,0,0
Six people with their hands on an outdoor kiln,0,1,0,0,0,0,0
Six red graduation teddy bears lined up in a row,0,1,0,0,0,0,0
Six sheep are standing near a wooden fence,0,1,0,0,0,0,0
Skate boarder does a trick on a city sidewalk,0,0,0,0,1,0,0
Skate boarder keeping balance while navigating green cones,0,0,0,0,0,1,0
Skateboarder and blue shirt and black jeans jumping on his board,0,0,0,0,0,0,1
Skateboarder at the skate park climbing a wall,0,0,0,0,0,1,0
skateboarder grinding down the retaining wall of a park,0,0,0,0,0,1,0
Skateboarders waiting to hear the go ahead word to skate down a ramp,0,1,0,0,0,0,0
Skier at event resting on wall near ski run,0,0,0,0,0,1,0
Skier coming down a mountain full of snow,0,0,0,0,0,1,0
Slices of orange are arranged on a plate,0,0,0,0,0,0,1
A tall clock tower in the background with smaller buildings in the front of it,0,1,0,0,0,0,0
a topless man taking a selfie in a bathroom,0,1,0,0,0,0,0
A plate of avocado tomatoes and eggs beside two drinks,0,0,0,0,0,1,0
A man being pulled along in the ocean on a small boat with a German shepherd running beside him,0,0,0,0,0,1,0
A box of donuts and a cup of coffee,0,0,0,0,0,0,1
A long train travels on the tracks in the countryside,1,0,0,0,0,0,0
A group of people standing in a room playing video games,0,0,0,0,1,0,0
Gated dog park area where some dogs have frisbees,1,0,0,0,0,0,0
a woman is jumping on a white bed,1,0,0,0,0,0,0
Two clocks sit inside of a doctors office,0,0,0,0,1,0,0
Three zebras graze in a field staying alert for predators,0,1,0,0,0,0,0
A baseball player stands in the outfield with his mitt to his side,0,0,0,0,0,1,0
A container of food in a microwave oven,0,0,0,0,1,0,0
A baseball player hitting a ball it looks like a statue,0,0,0,0,1,0,0
I can see that the hitter just hit the ball,0,0,0,0,1,0,0
A white cat with two different color eyes is resting in a sink,1,0,0,0,0,0,0
Theres several railroad tracks with a couple trains on them,0,1,0,0,0,0,0
older infant sitting outside holding a baby toothbrush in his mouth,0,0,0,0,1,0,0
A toy train set rides around a track,0,0,0,0,0,1,0
a man laying back in a chair with a donut in his mouth,1,0,0,0,0,0,0
A beautiful woman holding a tennis racquet in her hand,0,0,0,0,1,0,0
A black cat playing on top of a wooden chair,0,0,0,0,0,1,0
A women in a dress talks on her phone while riding a bike,0,0,0,0,1,0,0
Three men standing in a row holding up snowboards,0,1,0,0,0,0,0
Glazed doughnut on a green napkin on a pink counter top,0,0,0,0,0,1,0
Tennis player attempting to hit an incoming ball,0,0,0,0,0,0,1
A batter is taking a swing in a vintage photo,0,0,0,0,0,0,1
An adult giraffe places its head on a young giraffe,0,0,0,0,1,0,0
A man pouring water for a cow to drink,0,0,0,0,1,0,0
The airplane is flying over the mountains below,1,0,0,0,0,0,0
A kite flown by a person with their kite in the sky,0,1,0,0,0,0,0
A couple of cows being chased by a dog behind a fence,0,0,0,0,1,0,0
Two in floor toilets in separate stalls with the doors open,0,1,0,0,0,0,0
Man surfing on his board on a high wave,0,0,0,0,0,1,0
A biplane on the beach parked on the shoreline of the beach with water coming up on it and another plane next to it,0,1,0,0,0,0,0
A boy and a girl putting pizza on plates,0,1,0,0,0,0,0
A fridge is full of beer at a restaurant,0,1,0,0,0,0,0
A pair of people are busy in a kitchen,0,0,0,0,1,0,0
A person is riding down a steep hill on a snowboard,0,1,0,0,0,0,0
A skier stands atop a snowy mountain preparing to ski down,0,0,0,0,0,1,0
Man riding on a skateboard getting pulled by a rope,0,0,0,0,0,0,1
Low view of small passenger train moving through the countryside,0,0,0,0,0,0,1
Two trains docked at a train station during the day,0,0,0,1,0,0,0
A young boy wearing a baseball uniform and glove running,1,0,0,0,0,0,0
three signs sit on top of a street pole,0,1,0,0,0,0,0
two people sitting near sheep on hay,0,1,0,0,0,0,0
A blue boat sits near the dock in the water,0,1,0,0,0,0,0
A young child and two adults go skiing,0,1,0,0,0,0,0
